127.0.0.1 - - [18/Aug/2014:00:08:01 +0200] "POST /CentarZaTestiranje/pages/gost/registracijaStranica.jsf HTTP/1.1" 200 2830
127.0.0.1 - - [18/Aug/2014:00:08:01 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [18/Aug/2014:00:08:01 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [18/Aug/2014:00:08:07 +0200] "POST /CentarZaTestiranje/pages/gost/loginStranica.jsf HTTP/1.1" 200 3513
127.0.0.1 - - [18/Aug/2014:00:08:07 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [18/Aug/2014:00:08:07 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [18/Aug/2014:00:08:11 +0200] "POST /CentarZaTestiranje/pages/kandidat/kandidatIndex.jsf HTTP/1.1" 200 3740
127.0.0.1 - - [18/Aug/2014:00:08:11 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [18/Aug/2014:00:08:11 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [18/Aug/2014:00:08:16 +0200] "POST /CentarZaTestiranje/pages/kandidat/prijavljeniTestovi.jsf HTTP/1.1" 200 3740
127.0.0.1 - - [18/Aug/2014:00:08:16 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [18/Aug/2014:00:08:16 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [18/Aug/2014:00:08:20 +0200] "POST /CentarZaTestiranje/pages/kandidat/prijavljeniTestovi.jsf HTTP/1.1" 200 1148
127.0.0.1 - - [18/Aug/2014:00:08:20 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [18/Aug/2014:00:08:31 +0200] "POST /WebServisSistemZaNaplatu/services/ValidatorKreditneKartice.ValidatorKreditneKarticeHttpSoap11Endpoint/ HTTP/1.1" 200 337
127.0.0.1 - - [18/Aug/2014:00:08:31 +0200] "POST /WebServisSistemZaNaplatu/services/ValidatorKreditneKartice.ValidatorKreditneKarticeHttpSoap11Endpoint/ HTTP/1.1" 200 337
127.0.0.1 - - [18/Aug/2014:00:08:31 +0200] "POST /CentarZaTestiranje/pages/kandidat/prijavaTesta.jsf HTTP/1.1" 200 1443
127.0.0.1 - - [18/Aug/2014:00:08:31 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [18/Aug/2014:00:08:38 +0200] "POST /CentarZaTestiranje/pages/kandidat/prijavaTesta.jsf HTTP/1.1" 200 3513
127.0.0.1 - - [18/Aug/2014:00:08:38 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [18/Aug/2014:00:08:38 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [18/Aug/2014:00:08:40 +0200] "POST /CentarZaTestiranje/pages/kandidat/kandidatIndex.jsf HTTP/1.1" 200 3287
127.0.0.1 - - [18/Aug/2014:00:08:40 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [18/Aug/2014:00:08:40 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [18/Aug/2014:00:08:42 +0200] "POST /CentarZaTestiranje/index.jsf HTTP/1.1" 200 2830
127.0.0.1 - - [18/Aug/2014:00:08:42 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [18/Aug/2014:00:08:42 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [18/Aug/2014:00:08:48 +0200] "POST /CentarZaTestiranje/pages/gost/loginStranica.jsf HTTP/1.1" 200 4422
127.0.0.1 - - [18/Aug/2014:00:08:48 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [18/Aug/2014:00:08:48 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [18/Aug/2014:00:09:03 +0200] "POST /CentarZaTestiranje/pages/admin/adminIndex.jsf HTTP/1.1" 200 4422
127.0.0.1 - - [18/Aug/2014:00:09:03 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [18/Aug/2014:00:09:03 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [18/Aug/2014:00:09:07 +0200] "POST /CentarZaTestiranje/pages/admin/adminIndex.jsf HTTP/1.1" 200 4344
127.0.0.1 - - [18/Aug/2014:00:09:08 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [18/Aug/2014:00:09:08 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [18/Aug/2014:00:09:10 +0200] "POST /CentarZaTestiranje/pages/admin/adminStatistika.jsf HTTP/1.1" 200 4422
127.0.0.1 - - [18/Aug/2014:00:09:10 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [18/Aug/2014:00:09:10 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [18/Aug/2014:00:09:13 +0200] "POST /CentarZaTestiranje/pages/admin/adminIndex.jsf HTTP/1.1" 200 3450
127.0.0.1 - - [18/Aug/2014:00:09:13 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [18/Aug/2014:00:09:13 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [18/Aug/2014:00:09:15 +0200] "POST /CentarZaTestiranje/pages/admin/adminKreiranje.jsf HTTP/1.1" 200 3287
127.0.0.1 - - [18/Aug/2014:00:09:15 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [18/Aug/2014:00:09:15 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [18/Aug/2014:00:09:17 +0200] "POST /CentarZaTestiranje/index.jsf HTTP/1.1" 200 2830
127.0.0.1 - - [18/Aug/2014:00:09:17 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [18/Aug/2014:00:09:17 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [18/Aug/2014:00:09:23 +0200] "POST /CentarZaTestiranje/pages/gost/loginStranica.jsf HTTP/1.1" 200 9538
127.0.0.1 - - [18/Aug/2014:00:09:23 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [18/Aug/2014:00:09:23 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jquery/jquery.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 200 108195
127.0.0.1 - - [18/Aug/2014:00:09:23 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [18/Aug/2014:00:09:23 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jquery/jquery-plugins.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 200 220756
127.0.0.1 - - [18/Aug/2014:00:09:23 +0200] "GET /CentarZaTestiranje/javax.faces.resource/primefaces.css.jsf?ln=primefaces&v=5.0 HTTP/1.1" 200 55579
127.0.0.1 - - [18/Aug/2014:00:09:23 +0200] "GET /CentarZaTestiranje/javax.faces.resource/primefaces.js.jsf?ln=primefaces&v=5.0 HTTP/1.1" 200 300675
127.0.0.1 - - [18/Aug/2014:00:09:26 +0200] "POST /CentarZaTestiranje/pages/tester/testerIndex.jsf HTTP/1.1" 200 4162
127.0.0.1 - - [18/Aug/2014:00:09:26 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [18/Aug/2014:00:09:26 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [18/Aug/2014:00:09:29 +0200] "POST /CentarZaTestiranje/pages/tester/testerPregledPolaganja.jsf HTTP/1.1" 200 4467
127.0.0.1 - - [18/Aug/2014:00:09:29 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [18/Aug/2014:00:09:29 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [18/Aug/2014:00:09:31 +0200] "POST /CentarZaTestiranje/pages/tester/kandidatiPoPolaganju.jsf HTTP/1.1" 200 15158
127.0.0.1 - - [18/Aug/2014:00:09:31 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [18/Aug/2014:00:09:31 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [18/Aug/2014:00:09:41 +0200] "POST /CentarZaTestiranje/pages/tester/kandidatovTest.jsf HTTP/1.1" 200 2419
