127.0.0.1 - - [03/Sep/2014:14:23:58 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [03/Sep/2014:14:24:49 +0200] "POST /CentarZaTestiranje/test.jsf HTTP/1.1" 200 1843
127.0.0.1 - - [03/Sep/2014:14:24:49 +0200] "GET /CentarZaTestiranje/javax.faces.resource/hello.js.jsf?ln=js HTTP/1.1" 200 344
127.0.0.1 - - [03/Sep/2014:14:24:49 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [03/Sep/2014:14:24:58 +0200] "GET /CentarZaTestiranje/test.jsf HTTP/1.1" 200 1642
127.0.0.1 - - [03/Sep/2014:14:24:58 +0200] "GET /CentarZaTestiranje/javax.faces.resource/hello.js.jsf?ln=js HTTP/1.1" 200 344
127.0.0.1 - - [03/Sep/2014:14:24:58 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [03/Sep/2014:14:24:58 +0200] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [03/Sep/2014:14:25:06 +0200] "POST /CentarZaTestiranje/test.jsf HTTP/1.1" 200 1843
127.0.0.1 - - [03/Sep/2014:14:25:06 +0200] "GET /CentarZaTestiranje/javax.faces.resource/hello.js.jsf?ln=js HTTP/1.1" 200 344
127.0.0.1 - - [03/Sep/2014:14:25:06 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [03/Sep/2014:14:25:06 +0200] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [03/Sep/2014:14:27:55 +0200] "POST /CentarZaTestiranje/test.jsf HTTP/1.1" 200 1912
127.0.0.1 - - [03/Sep/2014:14:27:55 +0200] "GET /CentarZaTestiranje/javax.faces.resource/hello.js.jsf?ln=js HTTP/1.1" 200 344
