127.0.0.1 - - [11/Aug/2014:17:33:47 +0200] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [11/Aug/2014:17:34:09 +0200] "GET /CentarZaTestiranje/index.jsf HTTP/1.1" 200 3271
127.0.0.1 - - [11/Aug/2014:17:34:10 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [11/Aug/2014:17:34:10 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [11/Aug/2014:17:34:12 +0200] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [11/Aug/2014:17:36:18 +0200] "POST /CentarZaTestiranje/index.jsf HTTP/1.1" 200 2830
127.0.0.1 - - [11/Aug/2014:17:36:18 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [11/Aug/2014:17:36:18 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [11/Aug/2014:17:36:23 +0200] "POST /CentarZaTestiranje/pages/gost/loginStranica.jsf HTTP/1.1" 200 3538
127.0.0.1 - - [11/Aug/2014:17:36:23 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [11/Aug/2014:17:36:23 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [11/Aug/2014:17:36:26 +0200] "POST /CentarZaTestiranje/pages/kandidat/kandidatIndex.jsf HTTP/1.1" 200 3554
127.0.0.1 - - [11/Aug/2014:17:36:26 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [11/Aug/2014:17:36:26 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [11/Aug/2014:17:36:28 +0200] "POST /CentarZaTestiranje/pages/kandidat/prijavljeniTestovi.jsf HTTP/1.1" 200 3554
127.0.0.1 - - [11/Aug/2014:17:36:28 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [11/Aug/2014:17:36:28 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [11/Aug/2014:17:36:32 +0200] "POST /CentarZaTestiranje/pages/kandidat/prijavljeniTestovi.jsf HTTP/1.1" 200 3287
127.0.0.1 - - [11/Aug/2014:17:36:32 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [11/Aug/2014:17:36:32 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [11/Aug/2014:17:36:52 +0200] "GET /CentarZaTestiranje/test.jsf HTTP/1.1" 200 807
127.0.0.1 - - [11/Aug/2014:17:36:59 +0200] "POST /WebServisSistemZaNaplatu/services/ValidatorKreditneKartice.ValidatorKreditneKarticeHttpSoap11Endpoint/ HTTP/1.1" 200 337
127.0.0.1 - - [11/Aug/2014:17:36:59 +0200] "POST /CentarZaTestiranje/test.jsf HTTP/1.1" 200 1147
